"Dato";"Region";"Kategori";"Antal borgere"
2020-08-23;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-23;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-24;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-24;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-25;Hovedstaden;Indlæggelse pga. covid-19;3
2020-08-25;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-26;Hovedstaden;Indlæggelse pga. covid-19;2
2020-08-26;Nordjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-26;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-26;Sjælland;Indlæggelse pga. covid-19;3
2020-08-27;Sjælland;Indlæggelse pga. covid-19;1
2020-08-28;Hovedstaden;Indlæggelse pga. covid-19;2
2020-08-28;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-28;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-29;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-29;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-30;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-30;Hovedstaden;Indlæggelse pga. covid-19;2
2020-08-30;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-31;Hovedstaden;Indlæggelse pga. covid-19;2
2020-08-31;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-31;Sjælland;Indlæggelse pga. covid-19;2
2020-08-31;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-01;Hovedstaden;Indlæggelse pga. covid-19;1
2020-09-02;;Indlæggelse pga. covid-19;1
2020-09-02;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-02;Syddanmark;Indlæggelse pga. covid-19;2
2020-09-03;;Indlæggelse pga. covid-19;1
2020-09-03;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-03;Hovedstaden;Indlæggelse pga. covid-19;1
2020-09-03;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-04;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-04;Hovedstaden;Indlæggelse pga. covid-19;1
2020-09-04;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-04;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-04;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-04;Syddanmark;Indlæggelse pga. covid-19;2
2020-09-05;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-05;Hovedstaden;Indlæggelse pga. covid-19;3
2020-09-05;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-05;Midtjylland;Indlæggelse pga. covid-19;3
2020-09-05;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-05;Nordjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-09-05;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-05;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-06;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;2
2020-09-06;Hovedstaden;Indlæggelse pga. covid-19;4
2020-09-06;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-06;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-06;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-07;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-07;Hovedstaden;Indlæggelse pga. covid-19;2
2020-09-07;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-07;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-07;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-08;Hovedstaden;Indlæggelse pga. covid-19;1
2020-09-08;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-08;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-08;Sjælland;Indlæggelse pga. covid-19;1
2020-09-08;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-08;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-09;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-09;Hovedstaden;Indlæggelse pga. covid-19;5
2020-09-09;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-09;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-09;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-09;Sjælland;Indlæggelse pga. covid-19;1
2020-09-09;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-09;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-10;Hovedstaden;Indlæggelse pga. covid-19;6
2020-09-10;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;4
2020-09-10;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-10;Nordjylland;Indlæggelse pga. covid-19;2
2020-09-10;Sjælland;Indlæggelse pga. covid-19;1
2020-09-11;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-11;Hovedstaden;Indlæggelse pga. covid-19;1
2020-09-11;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-11;Midtjylland;Indlæggelse pga. covid-19;3
2020-09-11;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-11;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-09-11;Sjælland;Indlæggelse pga. covid-19;2
2020-09-12;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;2
2020-09-12;Hovedstaden;Indlæggelse pga. covid-19;5
2020-09-12;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;3
2020-09-12;Midtjylland;Indlæggelse pga. covid-19;1
2020-09-12;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-12;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-12;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-12;Syddanmark;Indlæggelse pga. covid-19;3
2020-09-13;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-13;Hovedstaden;Indlæggelse pga. covid-19;4
2020-09-13;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-09-13;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-09-13;Sjælland;Indlæggelse pga. covid-19;1
2020-09-13;Syddanmark;Indlæggelse pga. covid-19;2
2020-09-14;Hovedstaden;Indlæggelse pga. covid-19;6
2020-09-14;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-14;Nordjylland;Indlæggelse pga. covid-19;2
2020-09-14;Sjælland;Indlæggelse pga. covid-19;2
2020-09-14;Syddanmark;Indlæggelse pga. andre forhold end covid-19;1
2020-09-14;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-15;Hovedstaden;Indlæggelse pga. covid-19;7
2020-09-15;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-15;Midtjylland;Indlæggelse pga. covid-19;2
2020-09-15;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-15;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-16;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-16;Hovedstaden;Indlæggelse pga. covid-19;8
2020-09-16;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;3
2020-09-16;Midtjylland;Indlæggelse pga. covid-19;2
2020-09-16;Nordjylland;Indlæggelse pga. covid-19;3
2020-09-16;Sjælland;Indlæggelse pga. covid-19;1
2020-09-16;Syddanmark;Indlæggelse pga. covid-19;2
2020-09-17;;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-17;Hovedstaden;Indlæggelse pga. covid-19;2
2020-09-17;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-17;Midtjylland;Indlæggelse pga. covid-19;2
2020-09-17;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-17;Nordjylland;Indlæggelse pga. covid-19;2
2020-09-17;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-17;Sjælland;Indlæggelse pga. covid-19;3
2020-09-18;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-09-18;Hovedstaden;Indlæggelse pga. covid-19;4
2020-09-18;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;4
2020-09-18;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-18;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-18;Sjælland;Indlæggelse pga. covid-19;2
2020-09-19;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;3
2020-09-19;Hovedstaden;Indlæggelse pga. covid-19;6
2020-09-19;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-19;Midtjylland;Indlæggelse pga. covid-19;4
2020-09-19;Nordjylland;Indlæggelse pga. covid-19;3
2020-09-19;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-19;Sjælland;Indlæggelse pga. covid-19;2
2020-09-19;Syddanmark;Indlæggelse pga. covid-19;3
2020-09-19;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-20;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;3
2020-09-20;Hovedstaden;Indlæggelse pga. covid-19;7
2020-09-20;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;3
2020-09-20;Midtjylland;Indlæggelse pga. covid-19;2
2020-09-20;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-20;Nordjylland;Indlæggelse pga. covid-19;1
2020-09-20;Syddanmark;Indlæggelse pga. covid-19;1
2020-09-20;Syddanmark;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-21;;Indlæggelse pga. covid-19;1
2020-09-21;Hovedstaden;Indlæggelse pga. covid-19;8
2020-09-21;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-21;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-09-21;Nordjylland;Indlæggelse pga. covid-19;2
2020-09-21;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-09-21;Sjælland;Indlæggelse pga. covid-19;1
2020-09-21;Syddanmark;Indlæggelse pga. covid-19;4
2020-09-22;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;3
2020-09-22;Hovedstaden;Indlæggelse pga. covid-19;6
2020-09-22;Midtjylland;Indlæggelse pga. covid-19;2
2020-09-22;Sjælland;Indlæggelse pga. covid-19;2
