"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2021-U15;80+;4736;13;4,9;13425;37
2021-U16;00-02;3878;35;2,2;7161;64
2021-U16;03-05;7874;80;0,0;14590;149
2021-U16;06-11;14727;128;0,0;54759;477
2021-U16;12-15;19812;130;0,0;54060;354
2021-U16;16-19;18354;138;1,5;50077;376
2021-U16;20-39;25834;106;3,5;379566;1552
2021-U16;40-64;31036;82;4,9;587262;1551
2021-U16;65-79;12538;24;4,9;112385;217
2021-U16;80+;4067;14;6,0;11531;39
2021-U17;00-02;3466;44;1,1;6400;81
2021-U17;03-05;7438;68;0,0;13782;126
2021-U17;06-11;14574;114;0,0;54187;424
2021-U17;12-15;19246;118;0,4;52515;322
2021-U17;16-19;17935;177;1,5;48934;483
2021-U17;20-39;24511;135;3,3;360126;1987
2021-U17;40-64;29477;92;5,5;557768;1743
2021-U17;65-79;10967;27;4,8;98297;244
2021-U17;80+;3457;7;3,5;9799;21
2021-U18;00-02;3909;54;0,5;7223;100
2021-U18;03-05;7715;72;0,0;14326;133
2021-U18;06-11;14693;118;0,3;54496;436
2021-U18;12-15;20119;136;0,0;54906;370
2021-U18;16-19;18671;298;0,4;50895;813
2021-U18;20-39;26220;161;3,2;385441;2365
