"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2022-U33;Nordjylland;245;41,28
2022-U33;Sjælland;378;44,62
2022-U33;Syddanmark;493;39,96
2022-U34;Hovedstaden;448;23,93
2022-U34;Midtjylland;523;38,72
2022-U34;Nordjylland;237;39,94
2022-U34;Sjælland;226;26,68
2022-U34;Syddanmark;307;24,89
2022-U35;Hovedstaden;376;20,08
2022-U35;Midtjylland;327;24,21
2022-U35;Nordjylland;140;23,59
2022-U35;Sjælland;174;20,54
2022-U35;Syddanmark;225;18,24
2022-U36;Hovedstaden;430;22,95
2022-U36;Midtjylland;309;22,86
2022-U36;Nordjylland;152;25,61
2022-U36;Sjælland;227;26,79
2022-U36;Syddanmark;250;20,26
2022-U37;Hovedstaden;456;24,33
2022-U37;Midtjylland;231;17,09
2022-U37;Nordjylland;137;23,08
2022-U37;Sjælland;210;24,78
2022-U37;Syddanmark;237;19,21
2022-U38;Hovedstaden;575;30,68
2022-U38;Midtjylland;334;24,71
2022-U38;Nordjylland;159;26,79
2022-U38;Sjælland;304;35,87
2022-U38;Syddanmark;322;26,10
2022-U39;Hovedstaden;668;35,65
2022-U39;Midtjylland;446;32,99
2022-U39;Nordjylland;190;32,01
2022-U39;Sjælland;351;41,42
2022-U39;Syddanmark;484;39,23
2022-U40;Hovedstaden;706;37,60
2022-U40;Midtjylland;560;41,35
2022-U40;Nordjylland;211;35,53
2022-U40;Sjælland;422;49,79
2022-U40;Syddanmark;583;47,22
2022-U41;Hovedstaden;739;39,36
2022-U41;Midtjylland;554;40,90
2022-U41;Nordjylland;257;43,27
2022-U41;Sjælland;360;42,48
2022-U41;Syddanmark;508;41,15
2022-U42;Hovedstaden;669;35,63
2022-U42;Midtjylland;494;36,47
2022-U42;Nordjylland;200;33,68
2022-U42;Sjælland;352;41,53
2022-U42;Syddanmark;482;39,04
2022-U43;Hovedstaden;622;33,13
2022-U43;Midtjylland;494;36,47
2022-U43;Nordjylland;167;28,12
2022-U43;Sjælland;374;44,13
2022-U43;Syddanmark;406;32,88
2022-U44;Hovedstaden;510;27,16
2022-U44;Midtjylland;372;27,47
2022-U44;Nordjylland;137;23,07
2022-U44;Sjælland;290;34,22
2022-U44;Syddanmark;327;26,49
2022-U45;Hovedstaden;625;33,22
2022-U45;Midtjylland;394;29,07
2022-U45;Nordjylland;170;28,61
2022-U45;Sjælland;350;41,28
2022-U45;Syddanmark;357;28,90
