"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
849;Jammerbugt;06-11;1968;2022-11-14
851;Aalborg;06-11;10016;2022-11-14
860;Hjørring;06-11;3134;2022-11-14
;;12-15;190;2022-11-14
011;;12-15;1;2022-11-14
019;;12-15;100;2022-11-14
101;København;12-15;17135;2022-11-14
147;Frederiksberg;12-15;2883;2022-11-14
151;Ballerup;12-15;1970;2022-11-14
153;Brøndby;12-15;1472;2022-11-14
155;Dragør;12-15;581;2022-11-14
157;Gentofte;12-15;3393;2022-11-14
159;Gladsaxe;12-15;2887;2022-11-14
161;Glostrup;12-15;828;2022-11-14
163;Herlev;12-15;1252;2022-11-14
165;Albertslund;12-15;1205;2022-11-14
167;Hvidovre;12-15;2302;2022-11-14
169;Høje Tåstrup;12-15;2211;2022-11-14
173;Lyngby-Taarbæk;12-15;2257;2022-11-14
175;Rødovre;12-15;1704;2022-11-14
183;Ishøj;12-15;1048;2022-11-14
185;Tårnby;12-15;1808;2022-11-14
187;Vallensbæk;12-15;777;2022-11-14
190;Furesø;12-15;1785;2022-11-14
201;Allerød;12-15;1155;2022-11-14
210;Fredensborg;12-15;1642;2022-11-14
217;Helsingør;12-15;2423;2022-11-14
219;Hillerød;12-15;2147;2022-11-14
223;Hørsholm;12-15;1066;2022-11-14
230;Rudersdal;12-15;2424;2022-11-14
240;Egedal;12-15;1977;2022-11-14
250;Frederikssund;12-15;1730;2022-11-14
253;Greve;12-15;2164;2022-11-14
259;Køge;12-15;2386;2022-11-14
260;Halsnæs;12-15;1076;2022-11-14
265;Roskilde;12-15;3493;2022-11-14
269;Solrød;12-15;1089;2022-11-14
270;Gribskov;12-15;1486;2022-11-14
306;Odsherred;12-15;873;2022-11-14
316;Holbæk;12-15;2540;2022-11-14
320;Faxe;12-15;1400;2022-11-14
326;Kalundborg;12-15;1662;2022-11-14
329;Ringsted;12-15;1267;2022-11-14
330;Slagelse;12-15;2793;2022-11-14
336;Stevns;12-15;789;2022-11-14
340;Sorø;12-15;1045;2022-11-14
350;Lejre;12-15;1135;2022-11-14
360;Lolland;12-15;1241;2022-11-14
370;Næstved;12-15;3111;2022-11-14
376;Guldborgsund;12-15;1933;2022-11-14
390;Vordingborg;12-15;1398;2022-11-14
400;Bornholm;12-15;1342;2022-11-14
410;Middelfart;12-15;1537;2022-11-14
420;Assens;12-15;1551;2022-11-14
430;Faaborg-Midtfyn;12-15;1957;2022-11-14
440;Kerteminde;12-15;872;2022-11-14
450;Nyborg;12-15;1193;2022-11-14
461;Odense;12-15;6977;2022-11-14
479;Svendborg;12-15;2199;2022-11-14
480;Nordfyn;12-15;1129;2022-11-14
482;Langeland;12-15;315;2022-11-14
492;Ærø;12-15;186;2022-11-14
510;Haderslev;12-15;2096;2022-11-14
530;Billund;12-15;1086;2022-11-14
540;Sønderborg;12-15;2573;2022-11-14
550;Tønder;12-15;1304;2022-11-14
561;Esbjerg;12-15;4171;2022-11-14
563;Fanø;12-15;112;2022-11-14
573;Varde;12-15;1866;2022-11-14
575;Vejen;12-15;1734;2022-11-14
580;Aabenraa;12-15;2127;2022-11-14
607;Fredericia;12-15;1855;2022-11-14
615;Horsens;12-15;3590;2022-11-14
621;Kolding;12-15;3623;2022-11-14
630;Vejle;12-15;4822;2022-11-14
657;Herning;12-15;3429;2022-11-14
661;Holstebro;12-15;2444;2022-11-14
665;Lemvig;12-15;669;2022-11-14
671;Struer;12-15;808;2022-11-14
706;Syddjurs;12-15;1565;2022-11-14
707;Norddjurs;12-15;1168;2022-11-14
710;Favrskov;12-15;2285;2022-11-14
727;Odder;12-15;935;2022-11-14
730;Randers;12-15;3745;2022-11-14
740;Silkeborg;12-15;3994;2022-11-14
741;Samsø;12-15;89;2022-11-14
746;Skanderborg;12-15;2903;2022-11-14
751;Århus;12-15;11026;2022-11-14
756;Ikast-Brande;12-15;1682;2022-11-14
760;Ringkøbing-Skjern;12-15;2299;2022-11-14
766;Hedensted;12-15;2004;2022-11-14
773;Morsø;12-15;781;2022-11-14
