"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
851;Aalborg;40-64;62;2022-11-14
860;Hjørring;40-64;15;2022-11-14
;;65-79;1;2022-11-14
101;København;65-79;33;2022-11-14
147;Frederiksberg;65-79;5;2022-11-14
151;Ballerup;65-79;4;2022-11-14
153;Brøndby;65-79;3;2022-11-14
155;Dragør;65-79;6;2022-11-14
157;Gentofte;65-79;5;2022-11-14
159;Gladsaxe;65-79;6;2022-11-14
161;Glostrup;65-79;4;2022-11-14
163;Herlev;65-79;1;2022-11-14
165;Albertslund;65-79;2;2022-11-14
167;Hvidovre;65-79;1;2022-11-14
169;Høje Tåstrup;65-79;3;2022-11-14
173;Lyngby-Taarbæk;65-79;5;2022-11-14
183;Ishøj;65-79;2;2022-11-14
185;Tårnby;65-79;4;2022-11-14
187;Vallensbæk;65-79;1;2022-11-14
190;Furesø;65-79;3;2022-11-14
201;Allerød;65-79;2;2022-11-14
210;Fredensborg;65-79;3;2022-11-14
217;Helsingør;65-79;3;2022-11-14
219;Hillerød;65-79;4;2022-11-14
223;Hørsholm;65-79;4;2022-11-14
230;Rudersdal;65-79;3;2022-11-14
240;Egedal;65-79;5;2022-11-14
250;Frederikssund;65-79;5;2022-11-14
253;Greve;65-79;6;2022-11-14
259;Køge;65-79;14;2022-11-14
260;Halsnæs;65-79;2;2022-11-14
265;Roskilde;65-79;8;2022-11-14
269;Solrød;65-79;2;2022-11-14
270;Gribskov;65-79;3;2022-11-14
306;Odsherred;65-79;5;2022-11-14
316;Holbæk;65-79;6;2022-11-14
320;Faxe;65-79;2;2022-11-14
326;Kalundborg;65-79;6;2022-11-14
329;Ringsted;65-79;5;2022-11-14
330;Slagelse;65-79;5;2022-11-14
336;Stevns;65-79;5;2022-11-14
340;Sorø;65-79;1;2022-11-14
350;Lejre;65-79;4;2022-11-14
360;Lolland;65-79;4;2022-11-14
370;Næstved;65-79;7;2022-11-14
376;Guldborgsund;65-79;22;2022-11-14
390;Vordingborg;65-79;5;2022-11-14
400;Bornholm;65-79;3;2022-11-14
420;Assens;65-79;4;2022-11-14
430;Faaborg-Midtfyn;65-79;3;2022-11-14
440;Kerteminde;65-79;4;2022-11-14
450;Nyborg;65-79;4;2022-11-14
461;Odense;65-79;25;2022-11-14
479;Svendborg;65-79;7;2022-11-14
480;Nordfyn;65-79;4;2022-11-14
482;Langeland;65-79;2;2022-11-14
510;Haderslev;65-79;3;2022-11-14
540;Sønderborg;65-79;6;2022-11-14
550;Tønder;65-79;3;2022-11-14
561;Esbjerg;65-79;10;2022-11-14
573;Varde;65-79;7;2022-11-14
575;Vejen;65-79;1;2022-11-14
580;Aabenraa;65-79;2;2022-11-14
607;Fredericia;65-79;1;2022-11-14
615;Horsens;65-79;10;2022-11-14
621;Kolding;65-79;3;2022-11-14
630;Vejle;65-79;10;2022-11-14
657;Herning;65-79;5;2022-11-14
661;Holstebro;65-79;7;2022-11-14
665;Lemvig;65-79;1;2022-11-14
706;Syddjurs;65-79;3;2022-11-14
707;Norddjurs;65-79;5;2022-11-14
710;Favrskov;65-79;3;2022-11-14
727;Odder;65-79;4;2022-11-14
730;Randers;65-79;4;2022-11-14
740;Silkeborg;65-79;23;2022-11-14
746;Skanderborg;65-79;2;2022-11-14
751;Århus;65-79;26;2022-11-14
756;Ikast-Brande;65-79;6;2022-11-14
760;Ringkøbing-Skjern;65-79;3;2022-11-14
766;Hedensted;65-79;5;2022-11-14
779;Skive;65-79;2;2022-11-14
787;Thisted;65-79;2;2022-11-14
791;Viborg;65-79;12;2022-11-14
810;Brønderslev;65-79;2;2022-11-14
813;Frederikshavn;65-79;9;2022-11-14
820;Vesthimmerland;65-79;4;2022-11-14
840;Rebild;65-79;3;2022-11-14
846;Mariagerfjord;65-79;8;2022-11-14
849;Jammerbugt;65-79;5;2022-11-14
851;Aalborg;65-79;19;2022-11-14
860;Hjørring;65-79;2;2022-11-14
101;København;80+;20;2022-11-14
147;Frederiksberg;80+;3;2022-11-14
151;Ballerup;80+;2;2022-11-14
155;Dragør;80+;1;2022-11-14
157;Gentofte;80+;3;2022-11-14
159;Gladsaxe;80+;2;2022-11-14
161;Glostrup;80+;1;2022-11-14
173;Lyngby-Taarbæk;80+;1;2022-11-14
175;Rødovre;80+;2;2022-11-14
185;Tårnby;80+;2;2022-11-14
190;Furesø;80+;1;2022-11-14
201;Allerød;80+;1;2022-11-14
210;Fredensborg;80+;3;2022-11-14
217;Helsingør;80+;1;2022-11-14
219;Hillerød;80+;1;2022-11-14
223;Hørsholm;80+;8;2022-11-14
240;Egedal;80+;3;2022-11-14
250;Frederikssund;80+;2;2022-11-14
253;Greve;80+;5;2022-11-14
259;Køge;80+;3;2022-11-14
260;Halsnæs;80+;1;2022-11-14
265;Roskilde;80+;2;2022-11-14
269;Solrød;80+;2;2022-11-14
270;Gribskov;80+;1;2022-11-14
306;Odsherred;80+;2;2022-11-14
316;Holbæk;80+;1;2022-11-14
320;Faxe;80+;5;2022-11-14
326;Kalundborg;80+;2;2022-11-14
329;Ringsted;80+;2;2022-11-14
330;Slagelse;80+;4;2022-11-14
336;Stevns;80+;2;2022-11-14
340;Sorø;80+;3;2022-11-14
360;Lolland;80+;5;2022-11-14
370;Næstved;80+;3;2022-11-14
376;Guldborgsund;80+;6;2022-11-14
400;Bornholm;80+;2;2022-11-14
420;Assens;80+;1;2022-11-14
440;Kerteminde;80+;4;2022-11-14
450;Nyborg;80+;1;2022-11-14
461;Odense;80+;7;2022-11-14
479;Svendborg;80+;1;2022-11-14
482;Langeland;80+;3;2022-11-14
492;Ærø;80+;1;2022-11-14
540;Sønderborg;80+;1;2022-11-14
550;Tønder;80+;3;2022-11-14
561;Esbjerg;80+;3;2022-11-14
573;Varde;80+;12;2022-11-14
580;Aabenraa;80+;1;2022-11-14
615;Horsens;80+;2;2022-11-14
621;Kolding;80+;1;2022-11-14
630;Vejle;80+;9;2022-11-14
661;Holstebro;80+;1;2022-11-14
730;Randers;80+;1;2022-11-14
740;Silkeborg;80+;3;2022-11-14
751;Århus;80+;3;2022-11-14
756;Ikast-Brande;80+;1;2022-11-14
766;Hedensted;80+;1;2022-11-14
787;Thisted;80+;2;2022-11-14
791;Viborg;80+;1;2022-11-14
813;Frederikshavn;80+;2;2022-11-14
846;Mariagerfjord;80+;2;2022-11-14
849;Jammerbugt;80+;4;2022-11-14
851;Aalborg;80+;7;2022-11-14
860;Hjørring;80+;3;2022-11-14
