"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
661;Holstebro;40-49;4976;2022-11-14
665;Lemvig;40-49;1303;2022-11-14
671;Struer;40-49;1553;2022-11-14
706;Syddjurs;40-49;3290;2022-11-14
707;Norddjurs;40-49;2402;2022-11-14
710;Favrskov;40-49;4747;2022-11-14
727;Odder;40-49;1873;2022-11-14
730;Randers;40-49;8307;2022-11-14
740;Silkeborg;40-49;8639;2022-11-14
741;Samsø;40-49;195;2022-11-14
746;Skanderborg;40-49;6204;2022-11-14
751;Århus;40-49;24479;2022-11-14
756;Ikast-Brande;40-49;3555;2022-11-14
760;Ringkøbing-Skjern;40-49;4217;2022-11-14
766;Hedensted;40-49;4074;2022-11-14
773;Morsø;40-49;1440;2022-11-14
779;Skive;40-49;3439;2022-11-14
787;Thisted;40-49;3172;2022-11-14
791;Viborg;40-49;8287;2022-11-14
810;Brønderslev;40-49;3076;2022-11-14
813;Frederikshavn;40-49;4544;2022-11-14
820;Vesthimmerland;40-49;2764;2022-11-14
825;Læsø;40-49;79;2022-11-14
840;Rebild;40-49;2668;2022-11-14
846;Mariagerfjord;40-49;3310;2022-11-14
849;Jammerbugt;40-49;3109;2022-11-14
851;Aalborg;40-49;16635;2022-11-14
860;Hjørring;40-49;5113;2022-11-14
;;50-59;1823;2022-11-14
011;;50-59;519;2022-11-14
012;;50-59;10;2022-11-14
019;;50-59;112;2022-11-14
101;København;50-59;37311;2022-11-14
147;Frederiksberg;50-59;6944;2022-11-14
151;Ballerup;50-59;4003;2022-11-14
153;Brøndby;50-59;2717;2022-11-14
155;Dragør;50-59;1266;2022-11-14
157;Gentofte;50-59;6472;2022-11-14
159;Gladsaxe;50-59;5268;2022-11-14
161;Glostrup;50-59;1776;2022-11-14
163;Herlev;50-59;2274;2022-11-14
165;Albertslund;50-59;2193;2022-11-14
167;Hvidovre;50-59;4088;2022-11-14
169;Høje Tåstrup;50-59;3903;2022-11-14
173;Lyngby-Taarbæk;50-59;4278;2022-11-14
175;Rødovre;50-59;3092;2022-11-14
183;Ishøj;50-59;1817;2022-11-14
185;Tårnby;50-59;3484;2022-11-14
187;Vallensbæk;50-59;1197;2022-11-14
190;Furesø;50-59;3368;2022-11-14
201;Allerød;50-59;2283;2022-11-14
210;Fredensborg;50-59;3377;2022-11-14
217;Helsingør;50-59;5499;2022-11-14
219;Hillerød;50-59;4837;2022-11-14
223;Hørsholm;50-59;2126;2022-11-14
230;Rudersdal;50-59;4705;2022-11-14
240;Egedal;50-59;4015;2022-11-14
250;Frederikssund;50-59;4009;2022-11-14
253;Greve;50-59;4564;2022-11-14
259;Køge;50-59;5449;2022-11-14
260;Halsnæs;50-59;2454;2022-11-14
265;Roskilde;50-59;7580;2022-11-14
269;Solrød;50-59;2063;2022-11-14
270;Gribskov;50-59;3564;2022-11-14
306;Odsherred;50-59;2203;2022-11-14
316;Holbæk;50-59;5621;2022-11-14
320;Faxe;50-59;2961;2022-11-14
326;Kalundborg;50-59;3555;2022-11-14
329;Ringsted;50-59;2681;2022-11-14
330;Slagelse;50-59;5944;2022-11-14
336;Stevns;50-59;1942;2022-11-14
340;Sorø;50-59;2313;2022-11-14
350;Lejre;50-59;2344;2022-11-14
360;Lolland;50-59;2965;2022-11-14
370;Næstved;50-59;6661;2022-11-14
376;Guldborgsund;50-59;4689;2022-11-14
390;Vordingborg;50-59;3211;2022-11-14
400;Bornholm;50-59;3194;2022-11-14
410;Middelfart;50-59;3178;2022-11-14
420;Assens;50-59;2971;2022-11-14
430;Faaborg-Midtfyn;50-59;3961;2022-11-14
440;Kerteminde;50-59;2019;2022-11-14
450;Nyborg;50-59;2589;2022-11-14
461;Odense;50-59;13451;2022-11-14
479;Svendborg;50-59;4481;2022-11-14
480;Nordfyn;50-59;2319;2022-11-14
482;Langeland;50-59;874;2022-11-14
492;Ærø;50-59;466;2022-11-14
510;Haderslev;50-59;4175;2022-11-14
530;Billund;50-59;1937;2022-11-14
540;Sønderborg;50-59;5958;2022-11-14
550;Tønder;50-59;2680;2022-11-14
561;Esbjerg;50-59;8662;2022-11-14
563;Fanø;50-59;206;2022-11-14
573;Varde;50-59;3764;2022-11-14
575;Vejen;50-59;2960;2022-11-14
580;Aabenraa;50-59;4647;2022-11-14
607;Fredericia;50-59;3912;2022-11-14
615;Horsens;50-59;6762;2022-11-14
621;Kolding;50-59;7026;2022-11-14
630;Vejle;50-59;8747;2022-11-14
657;Herning;50-59;6970;2022-11-14
661;Holstebro;50-59;4485;2022-11-14
665;Lemvig;50-59;1641;2022-11-14
671;Struer;50-59;1683;2022-11-14
706;Syddjurs;50-59;3107;2022-11-14
707;Norddjurs;50-59;2779;2022-11-14
710;Favrskov;50-59;3628;2022-11-14
727;Odder;50-59;1847;2022-11-14
730;Randers;50-59;7684;2022-11-14
740;Silkeborg;50-59;7505;2022-11-14
741;Samsø;50-59;208;2022-11-14
746;Skanderborg;50-59;5004;2022-11-14
751;Århus;50-59;20235;2022-11-14
756;Ikast-Brande;50-59;3087;2022-11-14
760;Ringkøbing-Skjern;50-59;4091;2022-11-14
766;Hedensted;50-59;3887;2022-11-14
773;Morsø;50-59;1609;2022-11-14
779;Skive;50-59;3571;2022-11-14
787;Thisted;50-59;3425;2022-11-14
791;Viborg;50-59;7562;2022-11-14
810;Brønderslev;50-59;2915;2022-11-14
813;Frederikshavn;50-59;5113;2022-11-14
820;Vesthimmerland;50-59;2847;2022-11-14
825;Læsø;50-59;98;2022-11-14
840;Rebild;50-59;2348;2022-11-14
846;Mariagerfjord;50-59;3452;2022-11-14
